Telepules,Tombazonosito,QT_vil_cs,QT_vil_real_cs,QT_el_real_cs,QT_el_cs_real_cs,QT_ga_real_cs,QT_ol_real_cs,QT_sz_real_cs,QT_bm_real_cs,QT_th_real_cs,QT_el_real,QT_el_cs_real,QT_ga_real,QT_ol_real,QT_sz_real,QT_bm_real,QT_th_real,QT_vil,QT_vil_real,deltaQT,TFCO2_T,TFCO2_T_cs,TT_t,TT_e,adat_t,adat_T,T_L1,T_L1_M,T_L2,T_L2_M,T_L3,T_L3_F,T_L4,T_L4_F,T_L5,T_L5_F,T_L6,T_L6_M,T_L7,T_L8,T_L8_M,T_L9,T_L10_A,T_L10_B,T_L11_A,T_L11_B,T_L12_A,T_L12_B,T_L12_F,T_L13,T_L13_F,T_K1,T_K1_M,T_K2,T_K2_M,T_K2_F,T_K3,T_K3_M,T_K4,T_K4_F,T_K5,T_K5_F,T_K6,T_K6_M,T_K7,T_K7_F,T_K8,T_K8_M,T_K9,T_K10,T_K10_F,T_K11,T_K11_F,T_K12,T_K12_M,T_K13,T_K13_F,T_K14,T_K14_F,T_I1A,T_I1B,T_I2A,T_I2B,T_I3A,T_I3B,T_E,tomb_leiras,ET_vil_e_cs,ET_vil_t_cs,ET_vil_real_e_cs,ET_vil_real_t_cs,ET_vil_e,ET_vil_t,ET_vil_real_e,ET_vil_real_t,deltaET_e,deltaET_t,deltaTFCO2_T,potT,deltaQT_el_real,deltaQT_el_cs_real,deltaQT_ga_real,deltaQT_ol_real,deltaQT_sz_real,deltaQT_bm_real,deltaQT_th_real
Cserépváralja,Cserépváralja_019,14191.65,14191.65,378.444,0.0,14191.65,0.0,0.0,0.0,0.0,473.055,0.0,47305.5,0.0,0.0,0.0,0.0,47305.5,47305.5,33113.85,0.0,0.0,455.77,118.26375,0.0,0,0.0,0.0,118.26375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult nagy csaladi haz.,120.0,31.137744915198457,120.0,31.137744915198457,400.0,103.79248305066152,400.0,103.79248305066152,280.0,72.65473813546306,0.0,0.7,94.61099999999999,0.0,33113.85,0.0,0.0,0.0,0.0
Cserépváralja,Cserépváralja_020,55772.55000162,55772.55000162,1487.2680000432,0.0,55772.55000162,0.0,0.0,0.0,0.0,1859.0850000540001,0.0,209147.06250607502,0.0,0.0,0.0,0.0,209147.06250607502,209147.06250607502,153374.512504455,0.0,0.0,2653.2800000999996,464.77125001350004,4.0,1,464.7712500135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,120.0,21.02022779334182,120.0,21.02022779334182,450.0,78.82585422503183,450.0,78.82585422503183,329.99999999999994,57.80562643169,0.0,0.7333333333333334,371.81700001080026,0.0,153374.51250445502,0.0,0.0,0.0,0.0
Cserépváralja,Cserépváralja_021,135520.3593768,135520.3593768,4086.031050047999,0.0,135520.3593768,0.0,0.0,0.0,0.0,5106.52207506,0.0,472847.45981925,0.0,0.0,0.0,0.0,472847.45981925,472847.45981925,338014.95750495,0.0,0.0,12318.3050001,1135.437750015,5.0,1,931.685250015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.67375,0.0,0.0,0.0,0.0,102.07874999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,119.35516445089984,11.00154277521947,119.35516445089984,11.00154277521947,416.445075754266,38.38575679165368,416.445075754266,38.38575679165368,297.6957191184498,27.44005425277309,0.0,0.7133951836632393,1020.491025012001,0.0,337327.10044244997,0.0,0.0,0.0,0.0
Cserépváralja,Cserépváralja_022,13132.908000620999,13132.908000620999,456.7968000216,0.0,13132.908000620999,0.0,0.0,0.0,0.0,570.996000027,0.0,36638.910001732496,0.0,0.0,0.0,0.0,36638.910001732496,36638.910001732496,23791.500001125,0.0,0.0,2576.14,158.6100000075,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.6100000075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult oktatasi epulet.,82.8,5.097901511804871,82.8,5.097901511804871,231.0,14.22240639162953,231.0,14.22240639162953,150.00000000000003,9.235328825733463,0.0,0.6415584415584416,114.19920000540003,0.0,23506.002001111498,0.0,0.0,0.0,0.0
Cserépváralja,Cserépváralja_023,9077.4,9077.4,242.064,0.0,9077.4,0.0,0.0,0.0,0.0,302.58,0.0,34040.25,0.0,0.0,0.0,0.0,34040.25,34040.25,24962.85,0.0,0.0,7980.6649999,75.645,1.0,1,75.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,120.0,1.1374240116724286,120.0,1.1374240116724286,450.0,4.265340043771607,450.0,4.265340043771607,330.0,3.1279160320991783,0.0,0.7333333333333334,60.51599999999999,0.0,24962.85,0.0,0.0,0.0,0.0
Cserépváralja,Cserépváralja_024,23631.3,23631.3,630.168,0.0,23631.3,0.0,0.0,0.0,0.0,787.7099999999999,0.0,74103.525,0.0,0.0,0.0,0.0,74103.525,74103.525,50472.225000000006,0.0,0.0,2226.7250001,196.92749999999998,1.0,1,28.597500000000004,0.0,81.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult nagy csaladi haz.,120.00000000000001,10.612581256750941,120.00000000000001,10.612581256750941,376.2985108732909,33.27915436197648,376.2985108732909,33.27915436197648,256.298510873291,22.66657310522554,0.0,0.6811042389683891,157.54199999999992,0.0,50472.22499999999,0.0,0.0,0.0,0.0
Cserépváralja,Cserépváralja_025,17518.0499991,17518.0499991,467.14799997600005,0.0,17518.0499991,0.0,0.0,0.0,0.0,583.93499997,0.0,65692.687496625,0.0,0.0,0.0,0.0,65692.687496625,65692.687496625,48174.63749752501,0.0,0.0,1173.88499998,145.9837499925,2.0,1,145.9837499925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,119.99999999999999,14.923139830050186,119.99999999999999,14.923139830050186,450.0,55.9617743626882,450.0,55.9617743626882,330.00000000000006,41.03863453263802,0.0,0.7333333333333334,116.78699999399998,0.0,48174.63749752501,0.0,0.0,0.0,0.0
Cserépváralja,Cserépváralja_026,51911.19000413999,51911.19000413999,1384.2984001104,0.0,51911.19000413999,0.0,0.0,0.0,0.0,1730.373000138,0.0,194666.962515525,0.0,0.0,0.0,0.0,194666.962515525,194666.962515525,142755.772511385,0.0,0.0,3914.7150001000005,432.5932500345,4.0,1,432.59325003449993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,119.99999999999999,13.260528544942336,119.99999999999999,13.260528544942336,450.0,49.726982043533766,450.0,49.726982043533766,330.0,36.46645349859143,0.0,0.7333333333333334,346.0746000275999,0.0,142755.772511385,0.0,0.0,0.0,0.0
Cserépváralja,Cserépváralja_027,54102.7125009,54102.7125009,1595.340000024,0.0,54102.7125009,0.0,0.0,0.0,0.0,1994.1750000299999,0.0,161034.48750165,0.0,0.0,0.0,0.0,161034.48750165,161034.48750165,106931.77500075,0.0,0.0,3558.32000002,498.54375000749997,2.0,1,156.93375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.75125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vegyes típusu epuletekbol allo tomb,108.52149385101326,15.20456634046289,108.52149385101326,15.20456634046289,323.0097408687351,45.255763253654784,323.0097408687351,45.255763253654784,214.48824701772182,30.051196913191895,0.0,0.6640302748791892,398.835000006,0.0,106931.77500075,0.0,0.0,0.0,0.0
Cserépváralja,Cserépváralja_028,142701.54149989047,142701.54149989047,3966.4973999778003,0.0,142701.54149989047,0.0,0.0,0.0,0.0,4958.12174997225,0.0,447957.65812889434,0.0,0.0,0.0,0.0,447957.65812889434,447957.65812889434,305497.425003975,0.0,0.0,8457.5499999,1181.55375,8.0,1,646.466250015,0.0,119.04374999999999,0.0,150.54749999999999,0.0,0.0,0.0,127.4362499925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tömbre jellemző épülettípus: 1980 elott epult kis csaladi haz.,120.77448148244672,16.87268080018182,120.77448148244672,16.87268080018182,379.1259247654999,52.965416478080634,379.1259247654999,52.965416478080634,258.5556729890409,36.121267389206935,0.0,0.6814396653113365,991.6243499944494,0.0,305256.1166290039,0.0,0.0,0.0,0.0
