Telepules,Tombazonosito,QT_vil_cs,QT_vil_real_cs,QT_el_real_cs,QT_el_cs_real_cs,QT_ga_real_cs,QT_ol_real_cs,QT_sz_real_cs,QT_bm_real_cs,QT_th_real_cs,QT_el_real,QT_el_cs_real,QT_ga_real,QT_ol_real,QT_sz_real,QT_bm_real,QT_th_real,QT_vil,QT_vil_real,deltaQT,TFCO2_T,TFCO2_T_cs,TT_t,TT_e,adat_T,T_L1,T_L1_M,T_L2,T_L2_M,T_L3,T_L3_F,T_L4,T_L4_F,T_L5,T_L5_F,T_L6,T_L6_M,T_L7,T_L8,T_L8_M,T_L9,T_L10_A,T_L10_B,T_L11_A,T_L11_B,T_L12_A,T_L12_B,T_L12_F,T_L13,T_L13_F,T_K1,T_K1_M,T_K2,T_K2_F,T_K3,T_K3_M,T_K4,T_K4_F,T_K5,T_K5_F,T_K6,T_K6_M,T_K7,T_K7_F,T_K8,T_K8_M,T_K9,T_K10,T_K10_F,T_K11,T_K11_F,T_K12,T_K12_M,T_K13,T_K13_F,T_K14,T_K14_F,T_I1A,T_I1B,T_I2A,T_I2B,T_I3A,T_I3B,T_E,tomb_leiras,ET_vil_e_cs,ET_vil_t_cs,ET_vil_real_e_cs,ET_vil_real_t_cs,ET_vil_e,ET_vil_t,ET_vil_real_e,ET_vil_real_t,deltaET_e,deltaET_t,deltaTFCO2_T,potT,deltaQT_el_real,deltaQT_el_cs_real,deltaQT_ga_real,deltaQT_ol_real,deltaQT_sz_real,deltaQT_bm_real,deltaQT_th_real
Andornaktálya,T_13,0,0,,,,,,,,,,,,,,,0,0,0,,,0,,1,379.0612499,0,225.77625,0,1592.206347,0,585.9674998,0,843.75,0,4148.246249,0,26645.21325,0,0,961.5750001,0,0,0,0,0,0,0,7996.244999,0,64.74374999,0,2392.575,0,8484.6375,0,33513.23976,0,1569.75,0,14061.006,0,6241.011964,0,2240.923537,0,294.0099119,5755.04856,0,64.74374999,0,7132.490136,0,41919.05175,0,55398.37875,0,85.0725,17126.04885,2536.557,13852.7955,1835.001,3902.9325,5593.9705,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_64,4549.500001,4549.500001,,,,,,,,,,,,,,,17060.625,17060.625,12511.125,,,0,,1,7364906.569,0,1829775.656,0,2454446.985,0,2117566.251,0,1169805.489,0,1107160.855,0,1162644.611,330605.534,0,603948.8293,0,0,0,0,0,0,0,291002.0584,0,792355.3662,0,13622.44414,0,862556.7441,0,221279.8342,0,40723.38187,0,732999.2104,0,417911.9608,0,123644.2872,0,9958.713656,12781.21836,0,3125.85375,0,298269.4059,0,348326.7714,0,10512.37223,0,117168.1104,61283.88958,13130.40851,4749.952991,144632.2391,5772.060316,297451.8282,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_65,192286.2394,192286.2394,,,,,,,,,,,,,,,651091.9837,651091.9837,458805.7443,,,0,,1,7453924.149,0,1842372.099,0,2486766.594,0,2134346.087,0,1172628.913,0,1107985.48,0,1162644.611,331817.6015,0,609430.0543,0,0,0,0,0,0,0,291002.0584,0,792355.3662,0,13622.44414,0,867232.7931,0,270407.4412,0,44564.58188,0,737053.3392,0,450355.0251,0,123644.2872,0,9958.713656,12781.21836,0,3125.85375,0,298269.4059,0,348326.7714,0,10512.37223,0,117168.1104,61283.88958,13130.40851,4749.952991,144632.2391,5772.060316,297451.8282,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_66,310592.7191,310592.7191,,,,,,,,,,,,,,,899129.1353,899129.1353,588536.4161,,,0,,1,8505687.787,0,1953574.003,0,2676657.521,0,2245946.774,0,1193927.427,0,1236480.629,0,1197721.467,337315.7915,0,618186.1543,0,0,0,0,0,0,0,310079.4484,0,792355.3662,0,13622.44414,0,878483.2131,0,288539.3451,0,44564.58188,0,770957.5977,0,476155.5891,0,123644.2872,0,9958.713656,12781.21836,0,3125.85375,0,298269.4059,0,348326.7714,0,10512.37223,0,117168.1104,61283.88958,13130.40851,4749.952991,144632.2391,5772.060316,297451.8282,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_67,198969.03,198969.03,,,,,,,,,,,,,,,577566.0825,577566.0825,378597.0525,,,0,,1,8952238.953,0,2145012.932,0,2930783.778,0,2387973.399,0,1250078.218,0,1310857.923,0,1305494.982,337315.7915,0,648133.6318,0,0,0,0,0,0,0,310079.4484,0,827791.0962,0,13622.44414,0,905003.5093,0,288539.3451,0,44564.58188,0,782909.7027,0,500078.8956,0,123644.2872,0,9958.713656,12781.21836,0,3125.85375,0,333705.1359,0,348326.7714,0,10512.37223,0,117168.1104,61283.88958,13130.40851,88393.90569,144632.2391,5772.060316,381095.7809,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_7,145027.4414,145027.4414,,,,,,,,,,,,,,,425458.9657,425458.9657,280646.0656,,,0,,1,9404788.393,0,2280431.642,0,3306068.757,0,2623852.371,0,1472724.566,0,1328269.14,0,1392313.572,337315.7915,0,648133.6318,0,0,0,0,0,0,0,320389.3984,0,827791.0962,0,13622.44414,0,912820.8381,0,291459.4252,0,50391.17737,0,800125.3145,0,517754.7549,0,123644.2872,0,9958.713656,12781.21836,0,3125.85375,0,333705.1359,0,348326.7714,0,10512.37223,0,117168.1104,61283.88958,13130.40851,88393.90569,144632.2391,5772.060316,381095.7809,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_38,80257.05,80257.05,,,,,,,,,,,,,,,286806.4875,286806.4875,206549.4375,,,0,,1,2674394.968,0,353843.061,0,540688.6403,0,426443.2069,0,195075.2372,0,36371.55725,0,42842.53202,16686.60327,0,9736.15875,0,0,0,0,0,0,0,7996.244999,0,93350.66442,0,8011.971643,0,108065.9556,0,16656.27666,0,1298.152501,0,111650.6612,0,83649.43759,0,69341.58136,0,5008.387406,12781.21836,0,1677.4875,0,30246.12375,0,30625.79639,0,340.4838557,0,22586.46425,8837.605327,10543.25675,4749.952991,143648.8402,5423.961316,146505.2482,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_8,253781.1145,253781.1145,,,,,,,,,,,,,,,769831.0763,769831.0763,516049.9619,,,0,,1,11285711.49,0,2650396.233,0,4048043.382,0,3113006.685,0,1721968.009,0,1551187.178,0,1678608.111,337315.7915,0,693384.8788,0,0,0,0,0,0,0,458740.9804,0,853451.1267,0,18034.37914,0,958095.8038,0,407764.1632,0,54649.7875,0,825934.976,0,751174.7522,0,123644.2872,0,9958.713656,12781.21836,0,4458.62925,0,357849.6159,0,348326.7714,0,10695.14723,0,758369.8355,207143.4711,167252.5708,100330.2662,235451.4585,181399.6294,1606851.62,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_37,56981.69065,56981.69065,,,,,,,,,,,,,,,80724.06175,80724.06175,23742.3711,,,0,,1,2501733.536,0,299183.0985,0,484925.9795,0,367452.0859,0,175385.8517,0,29544.18725,0,30392.66327,12193.54327,0,9736.15875,0,0,0,0,0,0,0,7996.244999,0,87608.75442,0,8011.971643,0,103487.2048,0,16656.27666,0,1298.152501,0,91444.59245,0,77994.80509,0,69341.58136,0,5008.387406,12781.21836,0,61.5375,0,30246.12375,0,26499.83639,0,340.4838557,0,22586.46425,8837.605327,10543.25675,4749.952991,143648.8402,5423.961316,146505.2482,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_9,286124.5388,286124.5388,,,,,,,,,,,,,,,948133.9944,948133.9944,662009.4556,,,0,,1,11989184.74,0,3060400.461,0,4462246.961,0,3531591.389,0,1892681.77,0,1586727.704,0,1731700.923,337315.7915,0,968104.8497,0,0,0,0,0,0,0,490503.8299,0,937792.8829,0,18034.37914,0,1030146.193,0,425183.5422,0,66932.25922,0,872066.7681,0,916661.9779,0,123644.2872,0,9958.713656,15296.83086,0,11138.18175,0,376899.6834,0,391653.0452,0,22536.37973,0,947887.7628,425035.4141,245402.8692,159563.4739,752945.0722,461913.7756,3124916.984,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_36,204889.6865,204889.6865,,,,,,,,,,,,,,,290260.3892,290260.3892,85370.70271,,,0,,1,2232745.95,0,265350.4144,0,378164.6564,0,225881.9382,0,129050.8688,0,10020.05625,0,5507.973022,0,0,5254.20375,0,0,0,0,0,0,0,7996.244999,0,81899.52942,0,6606.056249,0,95878.90557,0,16656.27666,0,1298.152501,0,34872.2537,0,66186.8594,0,28459.03053,0,5008.387406,12781.21836,0,61.5375,0,24536.89875,0,26499.83639,0,340.4838557,0,22586.46425,8837.605327,10543.25675,4749.952991,143648.8402,5423.961316,146505.2482,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_63,6573.6,6573.6,,,,,,,,,,,,,,,18077.4,18077.4,11503.8,,,0,,1,7282772.134,0,1805856.083,0,2414515.026,0,2100084.887,0,1143925.26,0,1107160.855,0,1162644.611,330605.534,0,603948.8293,0,0,0,0,0,0,0,291002.0584,0,792355.3662,0,13622.44414,0,862556.7441,0,221279.8342,0,40723.38187,0,732999.2104,0,417911.9608,0,123644.2872,0,9958.713656,12781.21836,0,3125.85375,0,298269.4059,0,348326.7714,0,10512.37223,0,117168.1104,61283.88958,13130.40851,4749.952991,144632.2391,5772.060316,297451.8282,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_35,91579.75222,91579.75222,,,,,,,,,,,,,,,129737.9823,129737.9823,38158.23009,,,0,,1,2172764.039,0,236024.2253,0,351963.5376,0,205005.6578,0,104184.7517,0,3087.135,0,2825.640221,0,0,5254.20375,0,0,0,0,0,0,0,7996.244999,0,81450.25692,0,6606.056249,0,95878.90557,0,16656.27666,0,1298.152501,0,33118.8062,0,39728.74893,0,28459.03053,0,5008.387406,12781.21836,0,61.5375,0,24536.89875,0,26499.83639,0,340.4838557,0,22586.46425,8837.605327,10543.25675,4749.952991,35938.54481,5423.961316,38794.95284,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_34,271524.1792,271524.1792,,,,,,,,,,,,,,,774692.0157,774692.0157,503167.8366,,,0,,1,2102689.051,0,232488.9001,0,340017.7233,0,184531.215,0,100102.9728,0,3087.135,0,2825.640221,0,0,5254.20375,0,0,0,0,0,0,0,7996.244999,0,81450.25692,0,6606.056249,0,95878.90557,0,16031.64306,0,1298.152501,0,33017.9162,0,39728.74893,0,28459.03053,0,4158.599906,12781.21836,0,61.5375,0,24536.89875,0,26499.83639,0,340.4838557,0,22586.46425,8837.605327,9600.671498,3386.3643,35938.54481,5423.961316,36488.7789,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_39,117918.0401,117918.0401,,,,,,,,,,,,,,,350652.7627,350652.7627,232734.7226,,,0,,1,2724245.126,0,362860.7575,0,550778.0571,0,429396.9298,0,196661.9409,0,70022.37323,0,42842.53202,20945.89827,0,9736.15875,0,0,0,0,0,0,0,7996.244999,0,105252.8869,0,8011.971643,0,135326.7213,0,22190.57166,0,1298.152501,0,164111.9981,0,96534.30869,0,74701.43011,0,5008.387406,12781.21836,0,1677.4875,0,42148.34625,0,30625.79639,0,340.4838557,0,22586.46425,8837.605327,10543.25675,4749.952991,143648.8402,5423.961316,146505.2482,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
Andornaktálya,T_61,113032.6039,113032.6039,,,,,,,,,,,,,,,382488.0308,382488.0308,270092.6134,,,0,,1,7161225.969,0,1790399.882,0,2314706.683,0,2042648.052,0,1107476.684,0,1106532.992,0,1149053.861,330605.534,0,603948.8293,0,0,0,0,0,0,0,291002.0584,0,781364.9637,0,13622.44414,0,857176.4841,0,221279.8342,0,40723.38187,0,699972.0529,0,407188.9509,0,123644.2872,0,9958.713656,12781.21836,0,3125.85375,0,287279.0034,0,348326.7714,0,10512.37223,0,99518.34538,9395.008327,13130.40851,4749.952991,144632.2391,5423.961316,227565.083,Vegyes típusu epuletekbol allo tomb,,0,,0,,0,,0,,0,,,,,,,,,
