OBJECTID,Orszag_nev,Telepules_nev,Telepulesresz_nev,Tortenelmi_varosresz_nev,Fekves,Epulettipus,Epulet_altipus,Funkcio,Intezmenynev,Hazszam,Epulet_betujel,Helyrajziszam_teljes_epulet,Helyrajziszam_egyedi_epulet,Utcanev_epulet,Muemlek_nev,Muemlek_tipus,Muemlek_torzsszam,Epuletenergetikai_tipus,Epuletenergetikai_szintszam,Epuletenergetikai_tombazonosito,Aga_est,Abm_est,Ath_est,Ael_est,Aelcs_est,Asz_est,Aol_est,Tn_Tbr,E0,Evil,Ee_cs,Evil_cs,Tbr,Ter,Muemleki_vedettseg,Tortenelmi_varosresz_nev_modositott,Iranyitoszam,KSH_korzet,Epulet_azonosito,Hazszam_epulettomb,Epulet_szamozas_egyeb,Postacim_epulet,Shape_Length,Shape_Area
63723,Magyarország,Szarvaskő,,,belterület,gazdasági- és melléképület,,,,,,169,HUN_Szarvaskő_169,Borsod utca,,,,,,Szarvaskő_002,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00280,,,,17.51715745804605,18.18000001206994
63724,Magyarország,Szarvaskő,,,belterület,gazdasági- és melléképület,,,,,,162,HUN_Szarvaskő_162,Borsod utca,,,,,,Szarvaskő_003,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00281,,,,15.243489835905118,14.48499999694526
63725,Magyarország,Szarvaskő,,,belterület,gazdasági- és melléképület,,,,,,168,HUN_Szarvaskő_168,Borsod utca,,,,,,Szarvaskő_002,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00282,,,,25.43818872134884,33.01000000011176
63726,Magyarország,Szarvaskő,,,belterület,gazdasági- és melléképület,,,,,,170,HUN_Szarvaskő_170,Borsod utca,,,,,,Szarvaskő_002,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00283,,,,20.309718409498267,23.595000011213127
63727,Magyarország,Szarvaskő,,,belterület,gazdasági- és melléképület,,,,,,161,HUN_Szarvaskő_161,Borsod utca,,,,,,Szarvaskő_003,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00284,,,,16.066150036304492,16.074999993667006
63728,Magyarország,Szarvaskő,,,belterület,gazdasági- és melléképület,,,,,,170,HUN_Szarvaskő_170,Borsod utca,,,,,,Szarvaskő_002,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00285,,,,18.540973332261913,20.799999998882413
63729,Magyarország,Szarvaskő,,,belterület,gazdasági- és melléképület,,,,,,140,HUN_Szarvaskő_140,Fő utca,,,,,,Szarvaskő_005,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00286,,,,24.10145247327242,35.31999999947846
63730,Magyarország,Szarvaskő,,,belterület,gazdasági- és melléképület,,,,,,170,HUN_Szarvaskő_170,Borsod utca,,,,,,Szarvaskő_002,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00287,,,,38.20731929779053,45.530000017285346
63731,Magyarország,Szarvaskő,,,belterület,gazdasági- és melléképület,,,,,,172,HUN_Szarvaskő_172,Borsod utca,,,,,,Szarvaskő_004,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00288,,,,21.23019544548837,24.265000005476175
63732,Magyarország,Szarvaskő,,,belterület,gazdasági- és melléképület,,,,,,172,HUN_Szarvaskő_172,Borsod utca,,,,,,Szarvaskő_004,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00289,,,,14.738922605937582,13.360000006258488
