OBJECTID;Orszag_nev;Telepules_nev;Telepulesresz_nev;Tortenelmi_varosresz_nev;Fekves;Epulettipus;Epulet_altipus;Funkcio;Intezmenynev;Hazszam;Epulet_betujel;Helyrajziszam_teljes_epulet;Helyrajziszam_egyedi_epulet;Utcanev_epulet;Muemlek_nev;Muemlek_tipus;Muemlek_torzsszam;Epuletenergetikai_tipus;Epuletenergetikai_szintszam;Epuletenergetikai_tombazonosito;Aga_est;Abm_est;Ath_est;Ael_est;Aelcs_est;Asz_est;Aol_est;Tn_Tbr;E0;Evil;Ee_cs;Evil_cs;Tbr;Ter;Muemleki_vedettseg;Tortenelmi_varosresz_nev_modositott;Iranyitoszam;KSH_korzet;Epulet_azonosito;Hazszam_epulettomb;Epulet_szamozas_egyeb;Postacim_epulet;Shape_Length;Shape_Area
63758;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;40;;200/48;HUN_Szarvaskő_200/48;Tölgyfa utca;;;;L4;1,000000000000000;Szarvaskő_001;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;220,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;113,555000026971100;85,166250020228318;nem;;3323;Szarvaskő;Szarvaskő_00315;;;Szarvaskő, Tölgyfa utca 40;43,356077848473220;113,555000026971100
63759;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;31;;218;HUN_Szarvaskő_218;Tölgyfa utca;;;;L1;1,000000000000000;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;450,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;52,999999993480742;39,749999995110556;nem;;3323;Szarvaskő;Szarvaskő_00316;;;Szarvaskő, Tölgyfa utca 31;29,520147740561313;52,999999993480742
63760;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;31;;277;HUN_Szarvaskő_277;Rózsa utca;;;;L3;1,500000000000000;Szarvaskő_024;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;330,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;128,730000003129250;96,547500002346936;nem;;3323;Szarvaskő;Szarvaskő_00317;;;Szarvaskő, Rózsa utca 31;40,735760807035760;85,820000002086161
63761;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;29;;217;HUN_Szarvaskő_217;Tölgyfa utca;;;;L1;1,500000000000000;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;450,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;129,795000005811460;97,346250004358595;nem;;3323;Szarvaskő;Szarvaskő_00318;;;Szarvaskő, Tölgyfa utca 29;37,216070190880757;86,530000003874306
63762;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;38;;200/27;HUN_Szarvaskő_200/27;Tölgyfa utca;;;;L1;1,000000000000000;Szarvaskő_001;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;450,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;123,565000005103640;92,673750003827735;nem;;3323;Szarvaskő;Szarvaskő_00319;;;Szarvaskő, Tölgyfa utca 38;47,099989241319463;123,565000005103640
63763;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;24;;245;HUN_Szarvaskő_245;Rózsa utca;;;;L4;1,500000000000000;Szarvaskő_023;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;220,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;127,245000018663700;95,433750013997781;nem;;3323;Szarvaskő;Szarvaskő_00320;;;Szarvaskő, Rózsa utca 24;37,983101883964430;84,830000012442468
63764;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;27/a;;216/2;HUN_Szarvaskő_216/2;Tölgyfa utca;;;;L2;1,500000000000000;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;400,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;145,200000004470330;108,900000003352740;nem;;3323;Szarvaskő;Szarvaskő_00321;;;Szarvaskő, Tölgyfa utca 27/a;39,926171116426858;96,800000002980227
63765;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;36;;200/26;HUN_Szarvaskő_200/26;Tölgyfa utca;;;;L3;1,800000000000000;Szarvaskő_001;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;330,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;392,427000029638410;294,320250022228830;nem;;3323;Szarvaskő;Szarvaskő_00322;;;Szarvaskő, Tölgyfa utca 36;64,405222435255538;218,015000016465790
63766;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;27;;216/1;HUN_Szarvaskő_216/1;Tölgyfa utca;;;;L1;1,000000000000000;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;450,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;99,950000011362135;74,962500008521602;nem;;3323;Szarvaskő;Szarvaskő_00323;;;Szarvaskő, Tölgyfa utca 27;39,998013578844343;99,950000011362135
63767;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;33;;276;HUN_Szarvaskő_276;Rózsa utca;;;;L3;2,300000000000000;Szarvaskő_024;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;330,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;345,183999979350690;258,887999984513040;nem;;3323;Szarvaskő;Szarvaskő_00324;;;Szarvaskő, Rózsa utca 33;55,215696007118630;150,079999991022050
